issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,claude,This request needs to be handled by your workspace owner or admin. Please contact your team admin to restore access or ask them to work with Claude support from the owning workspace.,claude_release_notes,escalated,product_issue,Escalated because the request needs human or account-specific intervention; the closest grounded article was 'Release notes'. [source: 12138966-release-notes.md]
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,hackerrank,"I cannot review assessment answers, change scores, or influence a hiring decision from here. Please contact the recruiting company or assessment owner for a manual review.",hackerrank_settings,escalated,product_issue,Escalated because the request needs human or account-specific intervention; the closest grounded article was 'Create Custom Reports Key features Creating a custom report Available functional objects'. [source: 7355624862-create-custom-reports.md]
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,visa,"This needs account-specific billing review, so it should be handled by a human support team rather than an automated reply.",visa_rules,escalated,product_issue,Escalated because the request needs human or account-specific intervention; the closest grounded article was 'Visa Credit Card Rules & Regulations'. [source: visa-rules.md]
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,hackerrank,"This needs account-specific billing review, so it should be handled by a human support team rather than an automated reply.",hackerrank_community,escalated,bug,Escalated because the request needs human or account-specific intervention; the closest grounded article was 'Introduction to Mock Interview Types of mock interviews Accessing mock interview'. [source: 8988753946-introduction-to-mock-interview.md]
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,hackerrank,"This needs account-specific billing review, so it should be handled by a human support team rather than an automated reply.",hackerrank_community,escalated,bug,"Escalated because the request needs human or account-specific intervention; the closest grounded article was 'Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans'. [source: 9157064719-payments-and-billing-faqs.md]"
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,hackerrank,"# API Token and Access **Why can't I view the API keys in my HackerRank for Work account?** You must log in to **HackerRank for Work** with a **Recruiter-type** **Company Admin** user account to view the API access page and generate the Greenhouse API key.

Log in to **HackerRank for Work** using the company admin user account with the same email address as the Greenhouse user account.

For example, if you generate the API key using the `jackpeters@hackerrank.com` account, you must log in to **HackerRank for Work** with the same account to create the required Tests and email templates.

# Tests and Interviews **Why do I receive an error when generating a HackerRank interview link in Greenhouse?** You may receive an error due to one of the following reasons: - You are not logged in to Greenhouse with the same email address as your **HackerRank for Work** account.

Reference: https://support.hackerrank.com/articles/3678461564-greenhouse-hackerrank-integration-faqs",hackerrank_integrations,replied,product_issue,Replied directly using the closest grounded support article 'Greenhouse-HackerRank Integration FAQs API Token and Access Tests and Interviews Common Troubleshooting' with retrieval score 16.93. [source: 3678461564-greenhouse-hackerrank-integration-faqs.md]
"i can not able to see apply tab
","I need to practice, submissions not working",hackerrank,"**Can I upgrade from Basic directly to Infinity?** Yes.

**How do I downgrade my subscription?** To downgrade your subscription, see [📄 Downgrade Subscription Plan](/articles/5432562533).

**Can I change from monthly to quarterly billing without changing my plan tier?** Yes.

**Can I update my payment method?** Yes.

Reference: https://help.hackerrank.com/articles/9157064719-payments-and-billing-faqs",hackerrank_community,replied,bug,"Replied directly using the closest grounded support article 'Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans' with retrieval score 5.70. [source: 9157064719-payments-and-billing-faqs.md]"
none of the submissions across any challenges are working on your website,Issue while taking the test,hackerrank,"This case needs human review or account-specific action. The closest grounded support article was 'Create Custom Reports Key features Creating a custom report Available functional objects', but the requested action cannot be completed safely through an automated reply.",hackerrank_settings,escalated,bug,Escalated because the request needs human or account-specific intervention; the closest grounded article was 'Create Custom Reports Key features Creating a custom report Available functional objects'. [source: 7355624862-create-custom-reports.md]
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,hackerrank,"**Verify that the claims and statements** made by the auditee are free from material misstatement, whether due to fraud or error.8 7 Carrier, R., & Brown, S.

Obtain reasonable assurance as to whether the statements made by the auditee are free from material misstatement, whether due to fraud or error, 2.

The Company representatives are responsible for ensuring that the documents submitted are fairly presented and free of misrepresentations, providing all resources and personnel needed to ensure an eﬀective and efficient audit process, and providing access to evidential material as requested by the auditors.

identify the method by which PCV data was inferred, and</p></li> <li><p>b.

Reference: https://support.hackerrank.com/articles/8514725302-summary-of-bias-audit-results-%28hackerrank%27s-image-analysis-system%29",hackerrank_settings,replied,bug,Replied directly using the closest grounded support article 'Summary of Bias Audit Results (HackerRank's Image Analysis System)' with retrieval score 20.30. [source: 8514725302-summary-of-bias-audit-results-%28hackerrank%27s-image-analysis-system%29.md]
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,hackerrank,"This case needs human review or account-specific action. The closest grounded support article was 'Oracle Recruiting Cloud and HackerRank Integration User Guide', but the requested action cannot be completed safely through an automated reply.",hackerrank_integrations,escalated,product_issue,Escalated because the request needs human or account-specific intervention; the closest grounded article was 'Oracle Recruiting Cloud and HackerRank Integration User Guide'. [source: 3350882088-oracle-recruiting-cloud-and-hackerrank-integration-user-guide.md]
